sample_num|geopandas_times|duckdb_times|result
1000|0.39940404891967773|0.42960333824157715|duckdb win
2000|0.4378242492675781|0.4210531711578369|geopandas win
3000|0.49367713928222656|0.49754762649536133|duckdb win
4000|0.5394923686981201|0.6318278312683105|duckdb win
5000|0.6414167881011963|0.5673127174377441|geopandas win
6000|0.5491170883178711|0.6105997562408447|duckdb win
7000|0.612908124923706|0.6368608474731445|duckdb win
8000|0.6993744373321533|0.6539571285247803|geopandas win
9000|0.6969375610351562|0.697249174118042|duckdb win
10000|0.6973404884338379|0.6049399375915527|geopandas win
11000|0.6388003826141357|0.6736347675323486|duckdb win
12000|0.8848221302032471|0.7831790447235107|geopandas win
13000|0.8144090175628662|1.1018970012664795|duckdb win
14000|0.8754210472106934|0.806692361831665|geopandas win
15000|0.9637057781219482|0.8932900428771973|geopandas win
16000|0.9361782073974609|0.9315636157989502|geopandas win
17000|0.9624221324920654|1.245164155960083|duckdb win
18000|1.03672194480896|1.01420259475708|geopandas win
19000|1.2084856033325195|1.046159267425537|geopandas win
20000|1.124436616897583|1.055807113647461|geopandas win
21000|1.3848633766174316|1.1259679794311523|geopandas win
22000|1.130671501159668|1.2353782653808594|duckdb win
23000|1.1872224807739258|1.1579430103302002|geopandas win
24000|1.479102611541748|1.2550280094146729|geopandas win
25000|1.346323013305664|1.3457074165344238|geopandas win
26000|1.3231666088104248|1.763599157333374|duckdb win
27000|1.4781014919281006|1.3442649841308594|geopandas win
28000|1.39048433303833|1.432478904724121|duckdb win
29000|1.4455089569091797|1.7333858013153076|duckdb win
30000|1.655961036682129|1.760866403579712|duckdb win
31000|1.6830480098724365|1.8922381401062012|duckdb win
32000|1.6096670627593994|1.5193026065826416|geopandas win
33000|1.5520813465118408|1.4735939502716064|geopandas win
34000|1.8355982303619385|1.5073270797729492|geopandas win
35000|1.5728132724761963|1.904794692993164|duckdb win
36000|1.596879243850708|1.6156306266784668|duckdb win
37000|1.8750441074371338|2.006927967071533|duckdb win
38000|1.8110177516937256|1.625964641571045|geopandas win
39000|2.1916234493255615|2.2775192260742188|duckdb win
40000|2.0018155574798584|1.9206886291503906|geopandas win
41000|1.8686730861663818|2.1907408237457275|duckdb win
42000|1.8364202976226807|1.9224536418914795|duckdb win
43000|2.328467845916748|1.9774720668792725|geopandas win
44000|1.8883662223815918|1.873420238494873|geopandas win
45000|2.334118604660034|1.8922135829925537|geopandas win
46000|1.865990400314331|2.1277871131896973|duckdb win
47000|1.9160881042480469|1.9905133247375488|duckdb win
48000|2.476922035217285|2.1992523670196533|geopandas win
49000|2.1244473457336426|2.469175338745117|duckdb win
50000|1.909369945526123|2.504182815551758|duckdb win
51000|2.246108055114746|1.9181363582611084|geopandas win
52000|2.25762939453125|2.634045124053955|duckdb win
53000|2.487658739089966|2.3144969940185547|geopandas win
54000|2.639644145965576|2.390378952026367|geopandas win
55000|2.720522165298462|2.247549057006836|geopandas win
56000|2.1845505237579346|2.651864528656006|duckdb win
57000|2.1943278312683105|2.134115695953369|geopandas win
58000|2.5220353603363037|2.2498371601104736|geopandas win
59000|2.2700321674346924|2.7484209537506104|duckdb win
60000|2.435781240463257|2.327176332473755|geopandas win
61000|2.6825027465820312|2.4869651794433594|geopandas win
62000|3.089066982269287|2.257692575454712|geopandas win
63000|2.483989953994751|3.0038411617279053|duckdb win
64000|2.5626380443573|3.0517995357513428|duckdb win
65000|2.531266689300537|2.853917360305786|duckdb win
66000|2.579819440841675|2.7502739429473877|duckdb win
67000|3.172231435775757|1.8708903789520264|geopandas win
68000|3.0069973468780518|2.635556936264038|geopandas win
69000|2.739562511444092|3.7641241550445557|duckdb win
70000|3.0997071266174316|3.817124843597412|duckdb win
71000|3.372084856033325|3.737773895263672|duckdb win
72000|3.5686533451080322|3.0822088718414307|geopandas win
73000|3.464016914367676|3.173894166946411|geopandas win
74000|3.4958229064941406|2.974902391433716|geopandas win
75000|3.181271553039551|2.6363353729248047|geopandas win
76000|3.1500656604766846|3.213925838470459|duckdb win
77000|2.886164426803589|3.20928955078125|duckdb win
78000|2.7300753593444824|3.3003904819488525|duckdb win
79000|2.95589017868042|3.2373085021972656|duckdb win
80000|3.068908214569092|3.3037097454071045|duckdb win
81000|3.381085157394409|3.435950994491577|duckdb win
82000|3.773642063140869|3.153201103210449|geopandas win
83000|3.6713764667510986|3.6583380699157715|geopandas win
84000|3.2169673442840576|3.27103590965271|duckdb win
85000|3.762720823287964|3.3810195922851562|geopandas win
86000|3.84652042388916|3.4437484741210938|geopandas win
87000|3.959524393081665|3.637030601501465|geopandas win
88000|3.8626840114593506|3.821072816848755|geopandas win
89000|3.5221357345581055|3.350637912750244|geopandas win
90000|4.041463136672974|3.9287734031677246|geopandas win
91000|3.265045642852783|3.9823927879333496|duckdb win
92000|3.5450961589813232|3.9047739505767822|duckdb win
93000|3.7737555503845215|4.17151141166687|duckdb win
94000|3.5628883838653564|4.079743146896362|duckdb win
95000|3.5627527236938477|4.146764755249023|duckdb win
96000|3.67785906791687|4.080384969711304|duckdb win
97000|3.6756579875946045|4.182831287384033|duckdb win
98000|3.4708151817321777|4.309785604476929|duckdb win
99000|3.8654961585998535|4.469838380813599|duckdb win
100000|3.8323590755462646|4.147403240203857|duckdb win
101000|3.6908366680145264|4.259782791137695|duckdb win
102000|4.385924816131592|4.2798991203308105|geopandas win
103000|4.164881944656372|4.056159973144531|geopandas win
104000|4.401890993118286|3.802503824234009|geopandas win
105000|4.186086177825928|3.895003318786621|geopandas win
106000|4.566501140594482|4.597407341003418|duckdb win
107000|3.999088764190674|4.650986433029175|duckdb win
108000|4.131607532501221|4.820510625839233|duckdb win
109000|4.273682594299316|4.465518236160278|duckdb win
110000|5.003398418426514|4.1942503452301025|geopandas win
111000|4.617070913314819|4.154371023178101|geopandas win
112000|4.76167631149292|4.628825902938843|geopandas win
113000|4.301403045654297|4.587069749832153|duckdb win
114000|4.524589538574219|4.324980735778809|geopandas win
115000|4.95281720161438|4.002727508544922|geopandas win
116000|4.681660175323486|4.096812963485718|geopandas win
117000|4.815882205963135|4.956494569778442|duckdb win
118000|4.580132007598877|5.06174111366272|duckdb win
119000|4.537856817245483|4.662823677062988|duckdb win
120000|4.621999502182007|4.760012626647949|duckdb win
121000|4.712119817733765|4.888542413711548|duckdb win
122000|4.4438323974609375|5.059194803237915|duckdb win
123000|4.570849418640137|5.009455680847168|duckdb win
124000|5.2303242683410645|4.6021199226379395|geopandas win
125000|5.764960527420044|5.503877639770508|geopandas win
126000|6.367152452468872|6.562334299087524|duckdb win
127000|5.2276692390441895|5.454505920410156|duckdb win
128000|4.803873777389526|5.630025386810303|duckdb win
129000|5.88444447517395|5.956957101821899|duckdb win
130000|5.36929726600647|5.655421495437622|duckdb win
131000|5.008363246917725|5.275753736495972|duckdb win
132000|5.243128299713135|5.507027864456177|duckdb win
133000|5.07251238822937|5.578186511993408|duckdb win
134000|5.092448472976685|5.647048234939575|duckdb win
135000|5.6028594970703125|4.9444732666015625|geopandas win
136000|5.57862401008606|5.599738121032715|duckdb win
137000|5.581678628921509|5.729684829711914|duckdb win
138000|5.636826276779175|5.192222833633423|geopandas win
139000|5.635059833526611|5.916824579238892|duckdb win
140000|5.922000408172607|5.372244596481323|geopandas win
141000|5.854536056518555|5.8346946239471436|geopandas win
142000|5.22937273979187|5.827462196350098|duckdb win
143000|5.953146696090698|5.309218168258667|geopandas win
144000|5.7660534381866455|5.44501519203186|geopandas win
145000|5.929616928100586|6.002010822296143|duckdb win
146000|6.139477014541626|5.525610685348511|geopandas win
147000|6.104017496109009|6.015270709991455|geopandas win
148000|5.642518997192383|6.0875983238220215|duckdb win
149000|6.487346172332764|5.493931531906128|geopandas win
150000|6.056874990463257|6.047689199447632|geopandas win
